,titles,sentence,class
0,Flow Festival,"Flow Festival (commonly known simply as Flow) is an urban music and arts festival in Helsinki, Finland.",0
1,Psychedelic pop,Psychedelic filmPsychedelic pop (or acid pop) is pop music that contains musical characteristics associated with psychedelic music.,0
2,Indie rock,"Indie rock is a subgenre of rock music that originated in the United Kingdom, United States and New Zealand in the early to mid-1980s.",0
3,Neo-psychedelia,"Psychedelic filmNeo-psychedelia is a diverse genre of psychedelic music that draws inspiration from the sounds of 1960s psychedelia, either updating or copying the approaches from that era.",0
4,Modular Recordings,Modular Recordings (known simply as Modular) is an Australian record label founded in 1998 by Steve Pavlovic that is currently owned by Universal Music Australia.,0
5,Interscope Records,"Interscope Records is an American record label based in Santa Monica, California, owned by Universal Music Group through its Interscope Geffen A&M imprint.",0
6,Fiction Records,"Fiction Records is a British record label founded by Chris Parry in 1978, owned by Universal Music Group and based in the United Kingdom.",0
7,Island Records Australia,"Island Records Australia is an Australian record label that was launched in 2007 by Michael Taylor (now serving as managing director, Universal Music Australia).",0
8,Pond (Australian band),"Pond are an Australian psychedelic rock band from Perth, Western Australia, formed in 2008.",1
9,Kevin Parker (musician),"Kevin Richard Parker (born 20 January 1986) is an Australian singer, songwriter, musician, record producer, and DJ, best known for his musical project Tame Impala, for which he writes, performs, records, and produces the music.",1
10,Jay Watson,"Jay Watson is an Australian multi-instrumentalist, producer, singer and songwriter.",1
11,Cam Avery,"Cameron Avery (born 21 April 1988) is an Australian multi-instrumentalist, musician, singer and songwriter.",1
12,Nick Allbrook,"Nicholas Allbrook (born 23 November 1987) is an Australian psychedelic rock musician, singer, and songwriter.",1
13,Innerspeaker,"Innerspeaker is the debut studio album by Australian musical project Tame Impala, released on 21 May 2010 by Modular Recordings.",0
14,Lonerism,"Lonerism is the second studio album by Australian musical project Tame Impala, released on 5 October 2012 by Modular Recordings.",0
15,Grammy Awards,"The Grammy Awards (stylized as GRAMMY), or simply known as the Grammys, are awards presented by the Recording Academy of the United States to recognize ""outstanding"" achievements in the music industry.",0
16,Currents (Tame Impala album),Currents is the third studio album by Australian musical project Tame Impala.,0
17,ARIA Music Awards,"GelaStrugglerThe Australian Recording Industry Association Music Awards (commonly known informally as ARIA Music Awards, ARIA Awards, or simply the ARIAs) is an annual series of awards nights celebrating the Australian music industry, put on by the Australian Recording Industry Association (ARIA).",0
18,ARIA Award for Best Rock Album,"The ARIA Music Award for Best Rock Album, is an award presented at the annual ARIA Music Awards, which recognises ""the many achievements of Aussie artists across all music genres"", since 1987.",0
19,ARIA Award for Album of the Year,"The ARIA Music Award for Album of the Year, is an award presented at the annual ARIA Music Awards, which recognises ""the many achievements of Aussie artists across all music genres"", since 1987.",0
20,APRA Awards (Australia),"The APRA Music Awards in Australia are annual awards to celebrate excellence in contemporary music, which honour the skills of member composers, songwriters, and publishers who have achieved outstanding success in sales and airplay performance.Several award ceremonies are run in Australia by the Australasian Performing Right Association (APRA) and Australasian Mechanical Copyright Owners Society (AMCOS).",0
21,Let It Happen,"""Let It Happen"" is a song by the Australian rock artist Tame Impala.",0
22,The Slow Rush,"The Slow Rush is the fourth studio album by Australian musical project Tame Impala, released on 14 February 2020.",0
23,2020 ARIA Music Awards,"The 2020 ARIA Music Awards are the 34th Annual Australian Recording Industry Association Music Awards (generally known as ARIA Music Awards or simply The ARIAs) and consist of a series of awards, including the 2020 ARIA Artisan Awards, ARIA Hall of Fame Awards, ARIA Fine Arts Awards and the ARIA Awards.",0
24,Myspace,Myspace (formerly stylized as MySpace) is a social networking service based in the United States.,0
25,V Festival (Australia),"The Australian V Festival was an Australian music festival, and a spin-off of the British V Festival.",0
26,Tame Impala (EP),"Tame Impala is the second extended play (EP) by Australian musical project Tame Impala, released on 11 October 2008 by Modular Recordings.",0
27,Australian Independent Record Labels Association,"The Australian Independent Record Labels Association (commonly known as AIR), formerly Association of Independent Record Labels, is a non-profit trade association which supports the growth and development of Australia's independent recording industry.",0
28,ARIA Charts,"The ARIA Charts are the main Australian music sales charts, issued weekly by the Australian Recording Industry Association.",0
29,Half Full Glass of Wine,"""Half Full Glass of Wine"" is a song by Tame Impala, released in 2008 on their self-titled second EP.",0
30,Triple J,"Triple J is a government-funded, national Australian radio station that began broadcasting in 1975 as a division of the Australian Broadcasting Corporation (ABC).",0
31,You Am I,"You Am I are an Australian power pop band, fronted by its lead singer-songwriter and guitarist, Tim Rogers.",1
32,The Black Keys,"The Black Keys are an American rock duo formed in Akron, Ohio, in 2001.",1
33,Yeasayer,"Yeasayer (/ˈjeɪseɪ.ər/) was an American experimental rock band from Brooklyn, New York, formed in 2006.",1
34,MGMT,"MGMT (/ɛm-dʒi-ɛm-tiː/) is an American neo-psychedelic rock band formed in 2002 in Middletown, Connecticut.",1
35,Southbound (festival),"Southbound was an arts, camping and music festival.",0
36,Falls Festival,"Falls Music & Arts Festival (commonly known as Falls) is a multi-day music festival held annually in Byron Bay (New South Wales) and Fremantle (Western Australia), Australia over the New Year's Eve and January period.",0
37,"Triple J Hottest 100, 2008","The 2008 Triple J Hottest 100 was announced on Australia Day, 26 January 2009.",0
38,Sundown Syndrome,"""Sundown Syndrome"" is a song by Tame Impala, released as a single in 2009.",0
39,Richard Kingsmill,Richard Kingsmill is an Australian radio announcer and music journalist.,0
40,Remember Me (Blue Boy song),"""Remember Me"" is a 1997 song by British DJ Alexis 'Lex' Blackmore under his pseudonym Blue Boy, released as a single only.",0
41,Blue Boy (DJ),Blue Boy (also styled The Blue Boy) is a pseudonym for the British DJ Alexis 'Lex' Blackmore.,1
42,"Triple J Hottest 100, 2009","The 2009 Triple J's Hottest 100 Volume 17, was announced on Australia Day 26 January 2010.",0
43,The Kids Are All Right (film),The Kids Are All Right is a 2010 American comedy-drama film directed by Lisa Cholodenko and written by Cholodenko and Stuart Blumberg.,0
44,HBO," Home Box Office (HBO) is an American pay television network, which is the flagship property of namesake parent-subsidiary Home Box Office, Inc., itself a unit owned by Warner Bros.",0
45,Entourage (American TV series),"Entourage is an American comedy-drama television series that premiered on HBO on July 18, 2004, and ended on September 11, 2011, after eight seasons.",0
46,Big Day Out lineups by year,"This is a listing of artists and bands who have performed at a Big Day Out music festival, listed by year.",0
47,The Mars Volta,"The Mars Volta is a Mexican-American progressive rock band from El Paso, Texas, formed in 2001.",1
48,Kasabian,"Kasabian (/kəˈseɪbiən/ kə-SAY-bee-ən) are an English rock band formed in Leicester in 1997 by lead vocalist Tom Meighan, guitarist and second vocalist Sergio Pizzorno, guitarist Chris Karloff and bassist Chris Edwards.",1
49,iTunes,"iTunes (/ˈaɪt(j)uːnz/) is a software program that acts as a media player, media library, mobile device management utility, and the client app for the iTunes Store.",0
50,Pitchfork (website),Pitchfork (formerly Pitchfork Media) is an American online music publication (currently owned by Condé Nast) that was launched in 1996 by writer Ryan Schreiber as an independent music blog.,0
51,J Awards,"The J Awards are an annual series of Australian music awards that were established by the Australian Broadcasting Corporation's youth-focused radio station Triple J and which are judged by the music and on-air teams from radio stations Triple J, Triple J Unearthed and Double J The awards are given in an on-air ceremony held in November each year as part of triple j's AusMusic Month.As part of Triple J's 30th anniversary celebrations in 2005, the station inaugurated a single ""J Award"" to be given for ""an album of outstanding achievement as an Australian musical work of art – for its creativity, innovation, musicianship and contribution to Australian music.""The Judging criteria for the award is open to any album released (November the previous year to October the current year) either independently or through a record company by an Australian artist.",0
52,Splendour in the Grass,"Splendour in the Grass (commonly referred to as Splendour) is an annual Australian music festival held at the North Byron Parklands in Yelgun, New South Wales.",0
53,Reading and Leeds Festivals,The Reading and Leeds Festivals are a pair of annual music festivals that take place in Reading and Leeds in England.,0
54,Tom Meighan,"Thomas Peter Meighan (/ˈmiːən/, born 11 January 1981) is an English singer, best known as the former lead vocalist for the rock band Kasabian.",1
55,Serge Pizzorno,"Sergio Lorenzo ""Serge"" Pizzorno (born 15 December 1980) is an English musician, best known for his work with the rock band Kasabian.",1
56,Alexa Chung,"Alexa Chung (born 5 November 1983) is a British television presenter, model, internet personality, writer, and fashion designer.",0
57,Alison Mosshart,"Alison Nicole Mosshart (born November 23, 1978) is an American singer, songwriter, artist, and the lead vocalist for the rock bands The Kills and The Dead Weather.",1
58,Dave Fridmann,David Lawrence Fridmann is an American record producer and musician.From 1990 onwards he co-produced most releases by Mercury Rev and The Flaming Lips.,0
59,Dream pop,Dream pop (also typeset as dreampop) is a subgenre of alternative rock and neo-psychedelia that emphasizes atmosphere and sonic texture as much as pop melody.,0
60,Melody's Echo Chamber,"Melody's Echo Chamber is the main project of French musician Melody Prochet.When Melody Prochet's previous project My Bee's Garden supported Tame Impala on their European tour in 2010, Prochet collaborated with Kevin Parker to produce her new solo material as Melody's Echo Chamber.",1
61,Melody Prochet,Juliana Melody Prochet (born 3 April 1987) is a French musician.,1
62,Leif Podhajsky,"Leif Podhajsky is an Australian graphic designer and art director, well known for his distinctive album art working with artists such as Tame Impala, Bonobo, Foals, Kylie Minogue, Of Monsters and Men, Lykke Li, Toy, The Horrors, Mount Kimbie, Kelis, London Grammar and Aurora.Podhajsky has emerged as a promising photographer, with his brooding landscape photography attracting a large following through his popular Instagram and Facebook accounts.",0
63,Elephant (Tame Impala song),"""Elephant"" is a song by Australian psychedelic rock band Tame Impala, released on 26 July 2012 as the lead single from their second album Lonerism (2012).The single features artwork from Australian artist Leif Podhajsky, who also created the artwork for Innerspeaker and the follow-up Lonerism.""Elephant"" was covered by children's music group the Wiggles for Australian youth broadcaster Triple J's Like a Version segment on 5 March 2021, which won the station's Hottest 100 of 2021.Kevin Parker explains that: Elephant is actually one of the oldest songs that I have, it's just been in the vaults this whole time.",0
64,Rolling Stone,"Rolling Stone is an American monthly magazine that focuses on music, politics, and popular culture.",0
65,NME,"New Musical Express (NME) is a British music, film, gaming, and culture website and brand.",0
66,Filter (magazine),Filter (stylized as FILTER) was an entertainment magazine on American music that was founded in summer of 2002.,0
67,Urban Outfitters,"Urban Outfitters, Inc.",0
68,"Triple J Hottest 100, 2012",The 2012 Triple J Hottest 100 was announced on Australia Day 26 January 2013.,0
69,The Growl,"The Growl is a band from Fremantle, Western Australia, formed by Tame Impala bass guitarist, and vocalist Cam Avery.The Growl is known for having two drummers.",1
70,Late Night with Jimmy Fallon,Late Night with Jimmy Fallon is an American late-night talk show hosted by actor and comedian Jimmy Fallon.,0
71,Outkast,"Outkast (sometimes written as OutKast) was an American hip hop duo formed in Atlanta, Georgia, in 1992, consisting of the rappers Big Boi (Antwan Patton) and André 3000 (André Benjamin, formerly known as Dré).",1
72,Prototype (song),"""Prototype"" is a song recorded by American duo Outkast for their fifth studio album Speakerboxxx/The Love Below (2003).",0
73,Waves (film),"Waves is a 2019 American drama film written, produced and directed by Trey Edward Shults.",0
74,Live Versions,"Live Versions is the first live album by the Australian psychedelic rock band Tame Impala, released on 19 April 2014 (Record Store Day) by Modular Recordings.All songs written by Kevin Parker, except ""Apocalypse Dreams"", written by Kevin Parker and Jay Watson.",0
75,Fleetwood Mac,Fleetwood Mac are a British-American rock band formed in London in 1967 by guitarist and singer Peter Green.,1
76,Lollapalooza,Lollapalooza /ˌlɒləpəˈluːzə/ (Lolla) is an annual American four-day music festival held in Grant Park in Chicago.,0
77,'Cause I'm a Man,"""'Cause I'm a Man"" is a song by Australian musical project Tame Impala, released on 7 April 2015 as the second single from their third studio album Currents.",0
78,Eventually (Tame Impala song),"""Eventually"" is a song by Australian psychedelic music project Tame Impala.",0
79,Special edition,"The terms special edition, limited edition, and variants such as deluxe edition, or collector's edition, are used as a marketing incentive for various kinds of products, originally published products related to the arts, such as books, prints, recorded music and films, and video games, but now including clothing, cars, fine wine, and whisky, among other products.",0
80,Apple Music 1,"Apple Music 1, previously branded as Beats 1, is a 24/7 music radio station owned and operated by Apple Inc.",0
81,Matt Wilkinson,"Matthew Wilkinson is a British actor, playwright and director.Wilkinson trained at the Royal Academy of Dramatic Art and has performed in theatre, film, television and animation.Early theatre work included Alan Bennett's The Wind in the Willows (Old Vic, 1996) directed by Jeremy Sams, and in 1997 The Warp for Ken Campbell (Barnet), Take Away (Lyric Hammersmith) and The Birds (The Gate).",0
82,Saturday Night Live,"Saturday Night Live (often abbreviated to SNL) is an American late-night live television sketch comedy, political satire, and variety show created by Lorne Michaels and developed by Dick Ebersol that airs on NBC and streams on Peacock.",0
83,Patience (Tame Impala song),"""Patience"" is a song by Australian psychedelic music project Tame Impala.",0
84,Sandra Oh,"Sandra Miju Oh OC (born July 20, 1971) is a Canadian and American actress.",0
85,Borderline (Tame Impala song),"""Borderline"" is a song by the Australian psychedelic music project Tame Impala.",0
86,It Might Be Time,"""It Might Be Time"" is a song by Australian psychedelic music project Tame Impala.",0
87,Posthumous Forgiveness,"""Posthumous Forgiveness"" is a song by the Australian psychedelic music project Tame Impala.",0
88,Vice (magazine),"Vice (stylized in all caps) is a Canadian-American magazine focused on lifestyle, arts, culture, and news/politics.",0
89,The Less I Know the Better,"""The Less I Know the Better"" is a song released by the Australian music project Tame Impala on 29 November 2015 as the fourth and final single from their third studio album, Currents.",0
90,Triple J Hottest 100 of the 2010s,The Triple J Hottest 100 of the 2010s was held on the 14 March 2020.,0
91,After Hours (The Weeknd album),"After Hours is the fourth studio album by Canadian singer the Weeknd, released on March 20, 2020, by XO and Republic Records.",0
92,Like a Version,Like a Version is a weekly segment on Australian youth radio station triple j.,0
93,Turn Up the Sunshine,"""Turn Up the Sunshine"" is a song recorded by American singer Diana Ross featuring Australian musician Tame Impala specifically for the animated film Minions: The Rise of Gru (2022).",0
94,Diana Ross,"Diana Ross (born March 26, 1944) is an American singer and actress.",1
95,Jack Antonoff,"Jack Michael Antonoff (born March 31, 1984) is an American singer, musician, songwriter, and record producer.",1
96,Brittany Howard,"Brittany Amber Howard  (born October 2, 1988) is an American musician, singer, and songwriter known for being the lead vocalist, rhythm guitarist, and main songwriter of rock bands Alabama Shakes, Thunderbitch, and Bermuda Triangle.",1
97,St. Vincent (musician),"Anne Erin Clark (born September 28, 1982), known professionally as St.",1
98,H.E.R.,"Gabriella Sarmiento Wilson (born June 27, 1997), known professionally as H.E.R.",1
99,Gorillaz,"Gorillaz are an English virtual band created in 1998 by musician Damon Albarn and artist Jamie Hewlett, from London.",1
100,New Gold (song),"""New Gold"" is a song by British virtual band Gorillaz, featuring Australian music project Tame Impala, and American rapper Bootie Brown, marking the latter's second collaboration with the band since ""Dirty Harry"" in 2005.",0
101,Thundercat (musician),"Stephen Lee Bruner (born October 19, 1984), better known by his stage name Thundercat, is an American musician, singer, record producer, and songwriter from Los Angeles.",1
102,Barbie the Album,"Barbie the Album is the soundtrack album for the 2023 film Barbie, directed by Greta Gerwig.",0
103,Jam session,"A jam session is a relatively informal musical event, process, or activity where musicians, typically instrumentalists, play improvised solos and vamp over tunes, drones, songs, and chord progressions.",0
104,Phaser (effect),A phaser is an electronic sound processor used to filter a signal by creating a series of peaks and troughs in the frequency spectrum.,0
105,Delay (audio effect),Delay is an audio signal processing technique that records an input signal to a storage medium and then plays it back after a period of time.,0
106,Reverberation,"Reverberation (commonly shortened to reverb), in acoustics, is a persistence of sound after it is produced.",0
107,Distortion (music),"Distortion and overdrive are forms of audio signal processing used to alter the sound of amplified electric musical instruments, usually by increasing their gain, producing a ""fuzzy"", ""growling"", or ""gritty"" tone.",0
108,Melody,"A melody (from Greek μελῳδία, melōidía, ""singing, chanting""), also tune, voice or line, is a linear succession of musical tones that the listener perceives as a single entity.",0
109,The Flaming Lips,"The Flaming Lips are an American psychedelic rock band formed in 1983 in Oklahoma City, Oklahoma.",1
110,The Flaming Lips and Heady Fwends,"The Flaming Lips and Heady Fwends is the first album in the ""Fwends"" series by the American rock band the Flaming Lips in collaboration with a variety of guests.Recorded throughout 2011 and 2012, the album was released as a limited edition on vinyl for Record Store Day on April 21, 2012 and on CD, vinyl and digitally on June 26, 2012.",0
111,Wall of Sound,"The Wall of Sound (also called the Spector Sound) is a music production formula developed by American record producer Phil Spector at Gold Star Studios, in the 1960s, with assistance from engineer Larry Levine and the conglomerate of session musicians later known as ""the Wrecking Crew"".",0
112,Shoegaze,"Shoegaze (originally called shoegazing and sometimes conflated with ""dream pop"") is a subgenre of indie and alternative rock characterized by its ethereal mixture of obscured vocals, guitar distortion and effects, feedback, and overwhelming volume.",0
113,Electronic music,"Electronic music is a genre of music that employs electronic musical instruments, digital instruments, or circuitry-based music technology in its creation.",0
114,Synthesizer,A synthesizer (also spelled synthesiser) is an electronic musical instrument that generates audio signals.,0
115,Aphex Twin,"Richard David James (born 18 August 1971), best known as Aphex Twin,[nb 1] is an Irish-born British musician, composer and DJ.",1
116,Squarepusher,"Thomas Russell Jenkinson, known professionally as Squarepusher, is an English electronic musician, record producer, bassist, multi-instrumentalist and DJ.",1
117,Lo-fi music,"Lo-fi (also typeset as lofi or low-fi; short for low fidelity) is a music or production quality in which elements usually regarded as imperfections in the context of a recording or performance are present, sometimes as a deliberate choice.",0
118,Dave Fridmann,David Lawrence Fridmann is an American record producer and musician.From 1990 onwards he co-produced most releases by Mercury Rev and The Flaming Lips.,1
119,Supertramp,Supertramp were a British rock band that formed in London in 1970.,1
120,Guards (band),"Guards is an American rock band consisting of Richie Follin, Loren Humphrey, and Kaylie Church.",1
121,Tame Impala discography,"The discography of Tame Impala, a psychedelic rock project by the Australian musician Kevin Parker, consists of four studio albums, two live albums, four extended plays, twenty one singles and several collaborations and compilation appearances.Tame Impala were formed in Perth in 2007 after Parker's home recordings on Myspace drew attention from the independent record label Modular Recordings.",0
122,List of awards and nominations received by Tame Impala,"This is a list of awards and nominations received by Tame Impala.The American Music Awards (the AMA's)  is an annual American music awards show, generally held in the Fall.",0
123,Stereogum,"Stereogum is a daily Internet publication that focuses on music news, reviews, interviews, and commentary.",0
124,Australian Recording Industry Association,"The Australian Recording Industry Association (ARIA) is a trade association representing the Australian recording industry which was established in the 1970s by six major record companies, EMI, Festival, CBS, RCA, WEA and Universal replacing the Association of Australian Record Manufacturers (AARM) which was formed in 1956.",0
125,The Courier-Mail,The Courier-Mail is an Australian newspaper published in Brisbane.,0
126,Wayback Machine,"The Wayback Machine is a digital archive of the World Wide Web founded by the Internet Archive, a nonprofit based in San Francisco, California.",0
127,Live at the Corner (Tame Impala album),Live at the Corner is a digitally released live album by Australian electronic rock band Tame Impala.,0
128,Tame Impala H.I.T.S. 003,"Tame Impala (H.I.T.S 003) is the debut extended play by Australian musical project Tame Impala, released on September 2008, through the label, Hole in the Sky.",0
129,Solitude Is Bliss,"""Solitude Is Bliss"" is a song by Tame Impala, released as a single in April 2010.",0
130,Lucidity (song),"""Lucidity"" is a song by Tame Impala, released as a single in 2010.",0
131,Expectation (song),"""Expectation"" is a song by Tame Impala, released as a single in 2010.",0
132,Why Won't You Make Up Your Mind?,"""Why Won't You Make Up Your Mind?"" is a song by the Australian band Tame Impala, released as a single in 2011.",0
133,Feels Like We Only Go Backwards,"""Feels Like We Only Go Backwards"" is a song by Australian psychedelic rock band Tame Impala.",0
134,Mind Mischief,"""Mind Mischief"" is a song by Australian psychedelic rock band Tame Impala.",0
135,Lost in Yesterday,"""Lost in Yesterday"" is a song by Australian psychedelic music project Tame Impala.",0
136,Is It True (Tame Impala song),"""Is It True"" is a song by Australian psychedelic project Tame Impala, and is the sixth and final single released in promotion of their fourth studio album, The Slow Rush.",0
137,Disciples (song),"""Disciples"" is a song by Australian psychedelic music project Tame Impala, first released on 30 April 2015 as a promotional single for their third studio album Currents, being the third track to be released in promotion of the record.On April 29, 2015, the sole member of Tame Impala Kevin Parker did an ""Ask me Anything"" on Reddit, somebody asked him what questions he wanted, in which he responded that he was waiting for someone to ask him to hear a new song.",0
138,Consequence (publication),"Consequence (previously Consequence of Sound) is an independently owned New York–based online magazine featuring news, editorials, and reviews of music, movies, and television.",0
139,James Blake (musician),"James Blake Litherland (born 26 September 1988) is an English musician, singer, songwriter, and record producer.",1
140,Frank Ocean,"Christopher Francis Ocean (born Christopher Edwin Breaux; October 28, 1987) is an American singer, songwriter, and rapper.",1
141,Run the Jewels,"Run the Jewels, also known by the initials RTJ, is an American hip hop duo composed of Brooklyn-based rapper and producer El-P and Atlanta-based rapper Killer Mike.",1
142,Janelle Monáe,"Janelle Monáe Robinson (/dʒəˈnɛl moʊˈneɪ/ jə-NEL moh-NAY; born December 1, 1985) is an American singer, songwriter, rapper and actress from Kansas City, Kansas.",1
143,Phoebe Bridgers,"Phoebe Lucille Bridgers (born August 17, 1994) is an American singer-songwriter.",1
144,The Roots,"The Roots are an American hip hop band formed in 1987 by Tariq ""Black Thought"" Trotter and Ahmir ""Questlove"" Thompson in Philadelphia, Pennsylvania, United States.",1
145,Foo Fighters,Foo Fighters is an American rock band formed in Seattle in 1994.,1
146,Death Grips,"Death Grips is an American experimental hip hop group formed in 2010 in Sacramento, California.",1
147,The War on Drugs (band),"The War on Drugs is an American rock band from Philadelphia, Pennsylvania, formed in 2005.",1
