,titles,sentence,class
148,E Street Band,"The E Street Band is an American rock band, and has been musician Bruce Springsteen's primary backing band since 1972.",1
149,King Gizzard & the Lizard Wizard,"King Gizzard & the Lizard Wizard are an Australian rock band formed in 2010 in Melbourne, Victoria.",1
150,Chvrches,"Chvrches (stylised CHVRCHΞS and pronounced ""Churches"") are a Scottish synth-pop band from Glasgow, formed in September 2011.",1
151,Muna (band),"Muna (stylized as MUNA; /ˈmuːnə/ MOON-ə) is an American indie pop band consisting of Katie Gavin, Josette Maskin, and Naomi McPherson.",1
152,Whispering Jack,Whispering Jack is the twelfth studio album by Australian adult contemporary pop singer John Farnham.,0
153,John Farnham,John Peter Farnham AO (born 1 July 1949) is a British-born Australian singer.,1
154,Man of Colours,"Man of Colours is the fifth studio album by Australian rock/synthpop band Icehouse, released locally on 21 September 1987 on Regular Records / Chrysalis Records.The cover artwork, designed by Iva Davies and Robert Kretschmer, depicts a human figure holding three different coloured flowers.",0
155,Temple of Low Men,"Temple of Low Men is the second studio album by New Zealand-Australian rock band Crowded House, released by Capitol Records on 5 July 1988.",0
156,Crowded House,"Crowded House are a rock band, formed in Melbourne, Victoria, Australia, in 1985.",1
157,Matchbook (Ian Moss album),"Matchbook is the debut solo studio album by Australian singer-guitarist, Ian Moss, a member of pub rockers, Cold Chisel.",0
158,Ian Moss,Ian Richard Moss (born 20 March 1955) is an Australian rock musician from Alice Springs.,1
159,Blue Sky Mining,"Blue Sky Mining is the seventh studio album by Australian alternative rock band Midnight Oil, released on 9 February 1990 under the Columbia Records label.",0
160,Midnight Oil,"Midnight Oil (known informally as ""The Oils"") are  an Australian rock band composed of Peter Garrett (vocals, harmonica), Rob Hirst (drums), Jim Moginie (guitar, keyboard) and Martin Rotsey (guitar).",1
161,Baby Animals (album),"Baby Animals is the debut album by Australian band Baby Animals, released in September 1991.",0
162,Baby Animals,Baby Animals is an Australian hard rock band active from October 1989 to 1996 and reformed in 2007.,1
163,Hepfidelity,Hepfidelity is the second studio album by Australian singer/songwriter Diesel.,0
164,Diesel (musician),"Mark Denis Lizotte (born 31 May 1966) is an American-born Australian singer-songwriter and musician, who has released material under the name Diesel, Johnny Diesel, as leader of band Johnny Diesel & the Injectors, and as a solo performer, as well as under his birth name.",1
165,The Honeymoon Is Over,"The Honeymoon Is Over is the third studio album by Australian indie rock band The Cruel Sea, which was released in May 1993.",0
166,The Cruel Sea (band),"The Cruel Sea are an Australian indie rock band from Sydney, New South Wales formed in late 1987.",1
167,Don't Ask,Don't Ask is the third studio album by Australian singer Tina Arena released by Columbia Records in Australia on 14 November 1994.Arena co-wrote all of the songs on the original release of the album which was produced by David Tyson.,0
168,Tina Arena,"Filippina Lydia ""Tina"" Arena AM (born 1 November 1967) is an Australian singer-songwriter, musician, musical theatre actress and record producer.",1
169,"Hourly, Daily","Hourly, Daily is an album by the Australian rock band, You Am I, released in July 1996.",0
170,Savage Garden (Savage Garden album),Savage Garden is the debut studio album by Australian pop duo Savage Garden.,0
171,Savage Garden,"Savage Garden were an Australian pop duo consisting of Darren Hayes on vocals and Daniel Jones on guitar, keyboards, and vocals; they formed in Brisbane, Queensland, in 1993.",1
172,Unit (album),"Unit is the second studio album by Australian rock band Regurgitator, released in November 1997.",0
173,Regurgitator,"Regurgitator are an Australian pop-rock band from Brisbane, Queensland, formed in late 1993 by Quan Yeomans on lead vocals, guitar and keyboards; Ben Ely on bass guitar, keyboards and vocals; and Martin Lee on drums.",1
174,Internationalist (album),Internationalist is the third studio album by Australian alternative rock band Powderfinger.,0
175,Reflector (Killing Heidi album),"Reflector is the debut album by Australian band Killing Heidi, released in 2000 by Roadshow Music.",0
176,Killing Heidi,"Killing Heidi are an Australian rock band, formed in Violet Town, Victoria in 1996, initially as a folk-pop duo by siblings Ella and Jesse Hooper.",1
177,Barricades & Brickwalls,Barricades & Brickwalls is the second studio album by Australian country music singer Kasey Chambers released in Australia on 3 September 2001 by Essence Records and on 12 February 2002 on Warner Bros.,0
178,Kasey Chambers,Kasey Chambers (born 4 June 1976) is an Australian country singer-songwriter and musician born in Mount Gambier.,1
179,Get Born,Get Born is the debut studio album by Australian rock band Jet.,0
180,Jet (Australian band),Jet are an Australian rock band formed in 2001.,1
181,Bernard Fanning,Bernard Joseph Fanning (born 15 August 1969) is an Australian musician and singer-songwriter.,1
182,Apocalypso (The Presets album),Apocalypso is the second studio album by Australian electronic dance music duo The Presets.,0
183,The Presets,"The Presets are an Australian electronic music duo of Julian Hamilton (vocals, keyboards) and Kim Moyes (drums, keyboards).",1
184,Walking on a Dream (album),"Walking on a Dream is the debut studio album by Australian electronic music duo Empire of the Sun, released on 3 October 2008 by Capitol Records.",0
185,Empire of the Sun (band),Empire of the Sun is an Australian electronic music duo formed in 2007.,1
186,Down the Way,Down the Way is the second studio album by Australian singer-songwriter duo Angus & Julia Stone.,0
187,Angus & Julia Stone,"Angus & Julia Stone are an Australian folk and indie pop group, formed in 2006 by brother and sister Angus and Julia Stone.",1
188,Moonfire (album),Moonfire is the debut studio album by the Australian indie rock band Boy & Bear.,0
189,Boy & Bear,"Boy & Bear are an Australian indie folk band formed in 2009, consisting of David Hosking (vocals and guitar), Killian Gavin (vocals and guitar), Tim Hart (drums and vocals), Jonathan Hart (vocals, banjo, mandolin and keyboards), and David Symes (bass).",1
190,Making Mirrors,"Making Mirrors is the third and final studio album by Australian singer-songwriter Gotye, released in Australia on 19 August 2011.",0
191,Skin (Flume album),Skin is the second studio album by Australian electronic musician Flume.,0
192,Flume (musician),"Harley Edward Streten (born 5 November 1991), known professionally as Flume, is an Australian musician, DJ, and record producer.",1
193,Gang of Youths,"Gang of Youths are an Australian alternative rock band from Sydney, now based in London, that formed in 2011.",1
194,Love Monster (album),"Love Monster is the debut studio album by Australian alternative pop singer-songwriter Amy Shark, released on 13 July 2018 by Wonderlick Entertainment and Sony Music Australia.Shark said ""I think I want to start explaining it like the first two seasons of a great series you've just found.",0
195,Amy Shark,"Amy Louise Billings (born 14 May 1986), known professionally as Amy Shark, is an Australian indie pop singer-songwriter-guitarist and producer from the Gold Coast, Queensland.",1
196,A Place We Knew,A Place We Knew is the debut studio album by Australian singer and songwriter Dean Lewis.,0
197,Dean Lewis,Dean Lewis Grant Loaney (born 21 October 1985) is an Australian pop singer-songwriter.,1
198,Smiling with No Teeth,"Smiling with No Teeth is the debut studio album by Australian musician Genesis Owusu, released on 5 March 2021 through Ourness.",0
199,Genesis Owusu,"Kofi Owusu-Ansah (born 17 April 1998), known by his stage name Genesis Owusu, is a Ghanaian-Australian rapper and singer from Canberra.",1
200,Gela (album),"Gela is the debut studio album by Indigenous Australian rapper Baker Boy, released on 15 October 2021 through Island Records Australia and Universal Music Australia.",0
201,Baker Boy,"Danzal James Baker OAM (born 10 October 1996), known professionally as Baker Boy, is a Yolngu rapper, dancer, artist, and actor.",1
202,Brit Award for International Group,"The Brit Award for International Group is an award given by the British Phonographic Industry (BPI), an organisation which represents record companies and artists in the United Kingdom.",0
203,Huey Lewis and the News,"Huey Lewis and the News is an American pop rock band based in San Francisco, California.",1
204,The Bangles,"The Bangles are an American pop rock band formed in Los Angeles, California, in 1981.",1
205,INXS,"INXS (a phonetic play on ""in excess"") were an Australian rock band, formed as the Farriss Brothers in 1977 in Sydney, New South Wales.",1
206,Fugees,"Fugees (/ˈfuːdʒiːz/; sometimes The Fugees) are an American hip hop trio formed in 1990 in South Orange, New Jersey.",1
207,The Corrs,The Corrs are an Irish family band that combine pop rock with traditional Irish themes within their music.,1
208,TLC (group),"TLC is an American girl group formed in 1990 in Atlanta, Georgia.",1
209,Scissor Sisters,Scissor Sisters are an American pop rock band formed in 2000.,1
210,Kings of Leon,"Kings of Leon is an American rock band formed in Nashville, Tennessee, in 1999.",1
211,A Tribe Called Quest,"A Tribe Called Quest was an American hip hop group formed in Queens, New York City, in 1985, originally composed of rapper and main producer Q-Tip, rapper Phife Dawg, DJ and co-producer Ali Shaheed Muhammad, and rapper Jarobi White.",1
212,The Carters,The Carters (stylized in all caps) are an American musical duo composed of married artists Beyoncé and Jay-Z.,1
213,Silk Sonic,Silk Sonic is an American musical superduo composed of musicians Bruno Mars and Anderson .Paak.,1
214,Fontaines D.C.,Fontaines D.C.,0
215,of Montreal,"Of Montreal[a] is an American indie pop band from Athens, Georgia.",1
216,Little Joy,"Little Joy is a rock supergroup formed in 2007 by Los Hermanos singer-songwriter Rodrigo Amarante, The Strokes drummer Fabrizio Moretti, and Binki Shapiro.",1
217,Grammy Award for Best New Artist,"The Grammy Award for Best New Artist has been awarded since the 2nd Annual Grammy Awards in 1960, but was not presented in 1967.",0
218,Orchestral Manoeuvres in the Dark,"Orchestral Manoeuvres in the Dark (OMD) are an English electronic band formed in Wirral, Merseyside, in 1978.",1
219,Francis and the Lights,Francis and the Lights is an American pop project of Francis Farewell Starlite.,1
220,Spring Weekend,"Spring Weekend is a student-organized music festival hosted annually in April at Brown University in Providence, Rhode Island.",0
221,Your Life Is a Lie,"""Your Life Is a Lie"" is the second single released from the third album by MGMT, which was released as an instant download with the album pre-order on August 6, 2013.In an interview with XFM, VanWyngarden explained the meaning behind of this song: ""'Your Life Is a Lie' in particular was never meant to be directed at our fans or anybody in particular.",0
222,Grammy Award for Best Pop Performance by a Duo or Group with Vocals,"The Grammy Award for Best Pop Performance by a Duo or Group with Vocal was awarded between 1966 and 2011 (in its final year, it was awarded for recordings issued in 2010).",0
223,BBC Radio,BBC Radio is an operational business division and service of the state media outletBritish Broadcasting Corporation (which has operated in the United Kingdom under the terms of a royal charter since 1927).,0
224,Devendra Banhart,"Devendra Obi Banhart (born May 30, 1981) is an American-Venezuelan singer-songwriter and visual artist.",1
225,Last.fm,Last.fm Limited is a music website founded in the United Kingdom in 2002.,0
226,Peter Kember,"Peter Kember (born 19 November 1965), also known by his stage name Sonic Boom, is an English singer-songwriter, composer and record producer.",1
227,Sleater-Kinney,"Sleater-Kinney (/ˌsleɪtərˈkɪniː/ SLAY-tər-KIN-ee) is an American rock band that formed in Olympia, Washington, in 1994.",1
228,Spin (magazine),"Spin (stylized in all caps as SPIN) is an American music magazine founded in 1985 by publisher Bob Guccione, Jr.",0
229,The Marathon (mixtape),The Marathon is a mixtape by American rapper Nipsey Hussle.,0
230,Noise rock,Noise rock (sometimes called noise punk) is a noise-oriented style of experimental rock that spun off from punk rock in the 1980s.,0
231,Loss of Life,Loss of Life is the upcoming fifth studio album by the American rock band MGMT.,0
232,List of songs recorded by MGMT,The following is a list of songs by MGMT.,0
233,Pop music,Pop music is a genre of popular music that originated in its modern form during the mid-1950s in the United States and the United Kingdom.,0
234,Street Scene (San Diego music festival),"Street Scene was a music festival that was held each summer in San Diego, California from 1984 to 2009.",0
235,Spacemen 3,"Spacemen 3 were an English rock band, formed in 1982 in Rugby, Warwickshire, by Peter Kember and Jason Pierce, known respectively under their pseudonyms Sonic Boom and J Spaceman.",1
236,RED Ink Records,"RED Ink Records is an American record label founded in 1997 and owned and co-distributed by Sony Music Entertainment, along with RED Distribution.",0
237,Justice (band),Justice is a French electronic music duo consisting of Gaspard Augé and Xavier de Rosnay.,1
238,Voodoo Music + Arts Experience,"The Voodoo Music + Arts Experience (formerly The Voodoo Music Experience), commonly referred to as Voodoo or Voodoo Fest, was a multi-day music and arts festival held in City Park in New Orleans, Louisiana.",0
239,Randall Poster,Randall Poster is an American music supervisor and a long-term collaborator with Wes Anderson.,0
240,Lou Reed,"Lewis Allan Reed (March 2, 1942 – October 27, 2013) was an American musician and songwriter.",1
241,Alien Days,"""Alien Days"" is the first single released from MGMT, the third album by MGMT, which was released as a cassette single on April 20, 2013.",0
242,The Late Late Show with Craig Ferguson,The Late Late Show with Craig Ferguson is an American late-night talk show hosted by Scottish actor and comedian Craig Ferguson.,0
243,Andrew VanWyngarden,"Andrew Wells VanWyngarden (born February 1, 1983) is an American musician.",1
244,Rdio,"Rdio (pronounced  ""r-dee-oh"") was an online music streaming service that offered ad-supported free streaming and ad-free subscription streaming services in 85 countries.",0
245,Congratulations Remixes,"Congratulations Remixes is an EP which includes remixes of 3 tracks from the MGMT release Congratulations.The EP features a full 10+ minute ""Siberian Breaks"" remix from the Ed Banger All-Stars, an ambiguous group of collective artists on Ed Banger Records which was founded by Pedro Winter, whose stage name is Busy P, and is the home of musicians such as Justice, SebastiAn, Mr.",0
246,"Qu'est-ce que c'est la vie, chaton?","Qu'est-ce que c'est la vie, chaton?",0
247,Disemvoweling,"Disemvoweling, disemvowelling (see doubled L), or disemvowelment of a piece of alphabetic text is rewriting it with all the vowel letters elided.",0
248,51st Annual Grammy Awards,"The 51st Annual Grammy Awards took place at the Staples Center in Los Angeles, on February 8, 2009, honoring the best in music for the recording year beginning October 1, 2007, through September 30, 2008.",0
249,Union for a Popular Movement,"The Union for a Popular Movement (French: Union pour un mouvement populaire, French pronunciation: [ynjɔ̃ puʁ œ̃ muvmɑ̃ pɔpylɛʁ]; UMP, French pronunciation: [y.ɛmpe]) was a centre-right political party in France belonging to the Gaullist tradition.",0
250,RED Music,"RED Music, stylized RED MUSIC, formerly RED Distribution, LLC (Relativity Entertainment Distribution) was a Sony-owned sales and marketing division that merged under The Orchard in 2017.",0
251,Lucifer Sam,"""Lucifer Sam"" is a song by the English rock band Pink Floyd, featured on the band's debut album The Piper at the Gates of Dawn (1967).The song is built around a descending riff, with the dominant instrument being composer Syd Barrett's electric guitar, fed through an echo machine; the resultant sound has been likened to a ""sinister"" Duane Eddy.",0
252,Daphne Blake,Daphne Blake is a fictional character in the Scooby-Doo franchise.,0
253,Electric Feel,"""Electric Feel"" is a song by the American rock band MGMT, released as the second single from their debut studio album Oracular Spectacular (2007) on June 23, 2008.",0
254,Management,"Management (or managing) is the administration of organizations, whether they are a business, a nonprofit organization, or a government body through business administration, nonprofit management, or the political science sub-field of public administration respectively.",0
255,Time to Pretend,"""Time to Pretend"" is a song by the American indie band MGMT, released as the lead single from their debut studio album Oracular Spectacular (2007) on March 3, 2008.",0
256,Kids (MGMT song),"""Kids"" is a song by American rock band MGMT.",0
257,Pitchblack Playback,"Pitchblack Playback is a deep listening event founded in 2006 held primarily in London and occasionally in other cities across the world where audiences listen to new, upcoming and classic album releases in the dark.",0
258,Little Dark Age,"Little Dark Age (abbreviated as LDA) is the fourth studio album by the American rock band MGMT, released on February 9, 2018, through Columbia Records.",0
259,Columbia Records,"Columbia Records is an American record label owned by Sony Music Entertainment, a subsidiary of Sony Corporation of America, the North American division of Japanese conglomerate Sony.",0
260,HitFix,"HitFix, or HitFix.com, was an entertainment news website that launched in December 2008 specializing in breaking entertainment news, insider information, and reviews and critiques of film, music, and television.",0
261,Beck's Record Club,Record Club is a musical project initiated by Beck Hansen in June 2009.,0
262,NPR,"National Public Radio (NPR, stylized as npr) is an American non-profit media organization headquartered in Washington, D.C., with its NPR West headquarters in Culver City, California.",0
263,Pursuit of Happiness (song),"""Pursuit of Happiness"" is a song by American musician Kid Cudi, respectively featuring production and vocals from American electronic rock duo Ratatat and American neo-psychedelic act MGMT.",0
264,Little Dark Age Tour,"The Little Dark Age Tour is a concert tour by American rock band MGMT, in support of their fourth studio album, Little Dark Age (2018).",0
265,President of France,"The president of France, officially the president of the French Republic (French: Président de la République française), is the executive head of state of France, and the commander-in-chief of the French Armed Forces.",0
266,Embryonic (album),"Embryonic is the twelfth studio album by experimental rock band the Flaming Lips released on October 13, 2009, on Warner Bros.",0
267,Mom + Pop Music,Mom + Pop Music is a New York City-based independent record label.,0
268,Velma Dinkley,Velma Dinkley is a fictional character in the Scooby-Doo franchise.,0
269,The Avalanches,The Avalanches are an Australian electronic music group formed in Melbourne in 1997.,1
270,Siberian Breaks,"""Siberian Breaks"" is a song by the American rock band MGMT, released as the second single from their second studio album Congratulations (2010) as an exclusive release part of Record Store Day on April 17, 2010.",0
271,PR Newswire,PR Newswire is a distributor of press releases headquartered in Chicago.,0
272,Little Dark Age (song),"""Little Dark Age"" is a song by American rock band MGMT.",0
273,Fun Fun Fun Fest,"Fun Fun Fun Fest (often abbreviated as ""FFF"" or ""F3F"") was an annual music and comedy festival held in Austin, Texas, United States.",0
274,Talking Heads,Talking Heads were an American rock band that formed in 1975 in New York City.,1
275,Bonnaroo Music Festival,The Bonnaroo Music and Arts Festival is an American annual four-day music festival developed and founded by Superfly Presents and AC Entertainment.,0
276,Congratulations (MGMT song),"""Congratulations"" is a song by the American rock band MGMT, released as the fourth and final single and the title track from their second studio album Congratulations (2010) on November 26, 2010.",0
277,Flash Delirium,"""Flash Delirium"" is a song released by the American psychedelic rock band MGMT on their second album Congratulations.",0
278,"We Hear of Love, of Youth, and of Disillusionment","We Hear of Love, of Youth, and of Disillusionment is a Daytrotter session recorded at the first Moogfest in Asheville, North Carolina by MGMT.",0
279,Bruce Springsteen,"Bruce Frederick Joseph Springsteen (born September 23, 1949) is an American rock singer, songwriter and guitarist.",1
280,Johnny Marr,"John Martin Marr (born Maher, 31 October 1963) is an English musician, songwriter and singer.",1
281,Cantora Records,"Cantora Records is a Brooklyn-based independent record label, most notable for signing the psychedelic pop band MGMT and issuing the band's first commercial release, Time to Pretend.Cantora Records was formed in 2005 by Jesse Israel and Will Griggs, then sophomores and roommates at NYU, and Nick Panama.",0
282,Metanoia (song),"""Metanoia"" is the special limited edition single release that was originally a b-side on MGMT's debut CD single ""Time to Pretend"".",0
283,When You Die,"""When You Die"" is a song by American pop and rock band MGMT, and the second single from the band's fourth studio album Little Dark Age.",0
284,O-6-methylguanine-DNA methyltransferase,"1EH6, 1EH7, 1EH8, 1QNT, 1T38, 1T39, 1YFH425517314ENSG00000170430ENSMUSG00000054612P16455P26187NM_002412NM_008598NM_001377037NP_002403NP_032624NP_001363966O6-alkylguanine DNA alkyltransferase (also known as AGT, MGMT or AGAT) is a protein that in humans is encoded by the O6-methylguanine DNA methyltransferase (MGMT) gene.O6-methylguanine DNA methyltransferase is crucial for genome stability.",0
285,Rock music,"Rock is a broad genre of popular music that originated as ""rock and roll"" in the United States in the late 1940s and early 1950s, developing into a range of different styles from the mid-1960s, particularly in the United States and the United Kingdom.",0
286,Oracular Spectacular,"Oracular Spectacular is the debut studio album by the American band MGMT, released on October 2, 2007, by RED Ink and physically on January 22, 2008, by Columbia.",0
287,Songs of Leonard Cohen,"Songs of Leonard Cohen is the debut album by Canadian singer-songwriter Leonard Cohen, released on December 27, 1967, on Columbia Records.",0
288,Scooby-Doo,Scooby-Doo is an American media franchise owned by Warner Bros.,0
289,We Will Always Love You,"We Will Always Love You is the third studio album from Australian electronic group The Avalanches, released on 11 December 2020 through Modular Recordings.The Avalanches (Robbie Chater and Tony Di Blasi) released their second studio album, Wildflower, in 2016.",0
290,Late Show with David Letterman,"The Late Show with David Letterman is an American late-night talk show hosted by David Letterman on CBS, the first iteration of the Late Show franchise.",0
291,Indie pop,Indie pop (also typeset as indie-pop or indiepop) is a music genre and subculture that combines guitar pop with DIY ethic in opposition to the style and tone of mainstream pop music.,0
292,People vs. Money Tour,The People vs.,0
293,MTV Video Music Awards,"All Too Well: The Short Film""Anti-Hero""The MTV Video Music Awards (commonly abbreviated as the VMAs) is an award show presented by the cable channel MTV to honor the best in the music video medium.",0
294,Vulture (website),Vulture is an American entertainment news website.,0
295,Wolfmother,Wolfmother is an Australian hard rock band from Sydney.,1
296,Time to Pretend (EP),"Time to Pretend is the second EP by the American rock band MGMT, released on August 30, 2005 by Cantora Records and made available on iTunes.",0
297,List of awards and nominations received by MGMT,"MGMT was nominated for the 2010 Grammy Award for Best New Artist, and their track ""Kids"" was nominated for Best Pop Performance By a Duo or Group with Vocals.",0
298,MGMT (album),"MGMT (joke subtitled The ""Optimizer"" Deluxe Edition) is the third studio album by American rock band MGMT.",0
299,Me and Michael,"""Me and Michael"" (stylized as Me & Michael) is a song by American rock band MGMT.",0
300,Benjamin Goldwasser,"Benjamin Nicholas Hunter Goldwasser (born December 17, 1982) is an American songwriter and musician in the psychedelic rock band MGMT, for which he primarily plays keyboards and sings.",1
301,Electronica,Electronica is both a broad group of electronic-based music styles intended for listening rather than strictly for dancing and a music scene that came to prominence in the early 1990s in the United Kingdom.,0
302,Anthony Ausgang,"Anthony Ausgang (born Anthony Charles Grant Thompson, May 22, 1959) is an artist and writer born in Pointe-à-Pierre, Trinidad and Tobago in 1959 who lives and works in Los Angeles.",0
303,Courteeners,"Courteeners are an English band formed in Middleton, Greater Manchester, in 2006 by Liam Fray (lead guitar/vocals), Michael Campbell (drums/backing vocals), Daniel ""Conan"" Moores (rhythm guitar) and Mark Cuppello (bass); the last was replaced by the band's producer Joe Cross in 2015.",1
304,Hank Sullivant,"Hank Sullivant (born 3 February 1983) is an American rock musician and record producer, who is known for his work as a co-founder of the Athens-based pop rock band The Whigs, his stint as touring guitarist for MGMT, and as leader of the rock band Kuroma.",1
305,It's Working,"""It's Working"" is the third single released from the album Congratulations by MGMT.",0
306,Happy Mondays,Happy Mondays are an English rock band formed in Salford in 1980.,1
307,Experimental music,Experimental music is a general label for any music or music genre that pushes existing boundaries and genre definitions.,0
308,52nd Annual Grammy Awards,"The 52nd Annual Grammy Awards took place on January 31, 2010, at Staples Center in Los Angeles honoring the best in music for the recording year beginning October 1, 2008 through September 30, 2009.",0
309,Electronic rock,"Electronic rock (also known as electro-rock and synth-rock) is a music genre that involves a combination of rock music and electronic music, featuring instruments typically found within both genres.",0
310,Congratulations (album),Congratulations is the second studio album by American rock band MGMT.,0
311,ABC News,ABC News is the news division of the American television network ABC.,0
